channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UCVgcaXJcSGIYrJdlVIhL-Cw,1536,1401,2339,844,0.81,2.48,0,0,53.75,253,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","음식 & 음료"
UCVi4J5y_uvl-t2wFE7Oz7lg,14436,2496,17125,14191,1.23,1.74,23.15,2500,91.62,382,NULL,NULL,꿀팁,NULL,"의료 & 건강",NULL,"뷰티 & 메이크업"
UCvoD5jwxyoQ_V0aNun6jSyA,3021,NULL,3399,676,1.28,1.05,9.83,530,13.86,267,NULL,브이로그,NULL,"일상 & 라이프스타일",NULL,"뷰티 & 메이크업",NULL
UCvpD0KP2b7nVLbEAydjjNaQ,86014,102095,83768,100803,2.29,1.52,0.25,1000,13.18,220,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일",NULL
UCvS1DglC6nUaJ4NokJUiEsg,1830,1196,1041,2024,2.25,3.11,1.6,20,80.26,304,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"리빙 & 인테리어"
UCVtWFBePPdgGULIJo1J1Xaw,263653,357112,418979,219274,0.8,0.58,9.4,11000,77.78,171,NULL,브이로그,브이로그,엔터테인먼트,엔터테인먼트,"연애 & 결혼","일상 & 라이프스타일"
UCW67yGQxNNMnLqRHyaTjygA,126797,127019,101985,168625,1.35,2.16,1.58,6000,37.23,701,4,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업",음악,엔터테인먼트
UCW6SwPWWAJ0asdYzoi1dU7A,61779,61490,56300,68214,3.14,1.44,-0.16,-1000,45.99,685,1,브이로그,음악,"일상 & 라이프스타일",음악,"여행 & 캠핑",엔터테인먼트
UCWAGyolTIz5RjfDtY1JrOXg,24831,20421,27705,19474,1,1.73,0,0,34.92,587,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","일상 & 라이프스타일"
UCwCLfYVfvsPFkSlmZkmgzrw,23751,5850,3778,26863,0.74,1.03,6,600,86.52,178,NULL,꿀팁,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UCWHig0Xw_Tl7tkI9yOuKICQ,12491,3362,22262,11920,0.62,0.62,32.21,1050,94.48,163,NULL,꿀팁,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","피트니스 & 다이어트","패션 & 의류"
UCWltt-7JK8k6IZjtuKzEdVA,66785,55451,65752,77947,1.58,1.08,0.47,1000,8.47,177,NULL,"리뷰 & 언박싱",꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCws1IgSlb_uedUUGpyH3jeQ,32762,112885,7309,46222,0.74,1.58,2.14,80,65.41,159,NULL,튜토리얼,꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCwwfbGYkRBNAJ-qH2ttoqbg,57112,46776,59596,17225,1.21,1.75,0,0,5.86,273,NULL,브이로그,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","패션 & 의류"
UCxCWEDrPXHF-zSanScjgEvg,94865,2150,634,98397,0.58,0.58,29.92,1080,96.36,110,NULL,브이로그,"리뷰 & 언박싱","일상 & 라이프스타일","뷰티 & 메이크업",NULL,게임
UCxQFCdMag6smOQVAObGBIgA,8467,23171,2336,10075,1.16,0.35,0.32,20,79.22,385,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","일상 & 라이프스타일"
UCXuzhVKNO9ZLm1q7edeipIw,24715,21675,36175,14447,1.06,0.73,2.2,9000,52.74,802,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","의료 & 건강"
UCXXP7wT0uXIz0NEQxdkTaZQ,4799,1800,5426,1786,0.98,1.08,0.72,30,17.2,93,NULL,브이로그,브이로그,"일상 & 라이프스타일","뷰티 & 메이크업","여행 & 캠핑","패션 & 의류"
UCY2YdDn7zXtRbNR0fJ9V_YQ,68818,56731,72063,54138,1.25,0.06,0,0,18.1,696,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UCY4wVMhBE_nHogy_F8LPg-A,2458,1906,4698,1758,1.1,1.72,-0.79,-20,76.19,84,NULL,브이로그,"리뷰 & 언박싱","일상 & 라이프스타일","뷰티 & 메이크업","피트니스 & 다이어트","피트니스 & 다이어트"
UCyeXqJQUI8SPye8s_CHdFIg,4378,NULL,NULL,4378,NULL,NULL,9.58,230,100,205,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,NULL
UCYfAankzCbhjIV4EsU4Vzdw,107310,45515,42204,213673,1.06,1.08,5.69,7000,37.97,453,NULL,"리뷰 & 언박싱",꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCYuMEcmNpz03jmS9DSNJexw,32962,26463,18004,45750,0.93,1.43,3.34,2400,53.91,818,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","여행 & 캠핑","패션 & 의류"
UCZ-oeQmEiTLw4d5PSDyd1Cw,77095,66853,69406,78094,4.44,1.99,1.19,200,88.5,200,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"의료 & 건강"
UCzB4SMiJegcyFlnFvosUVcg,4916,4023,4798,5023,1.34,2,4.95,500,52.44,82,NULL,"리뷰 & 언박싱",튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업",NULL,NULL
