channel_id,channel_title,brand1,brand2,brand3,video_id,views,likes,comments,channel_cost,publishDate,cpv,title
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,1-19nmIR-Hc,3274,87,2,2145000,2024-06-02,655.162,"아기피부로 새로고침🔙 요철까지 나가주시면 감사합니다☺️ #결지컬100프라이머"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,포맨트,NULL,NULL,13eze0Kq_PI,4935,106,12,2145000,2024-05-24,434.65,"지금 나갈라고 15탄 : 핑잘봄룩💕+인간 복숭아 향수🍑"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,스킨앤랩,NULL,NULL,1s2t8PQ9A-k,10034,150,4,2145000,2024-02-08,213.773,"[꿀팁스런 1탄] 건성피부 N년차의 나이트🌙스킨케어법 : 보습관리편 #건성피부 #보습 #크림추천 #스킨케어추천"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,30sbGUEQZyg,6126,42,17,2145000,2022-12-24,350.147,"파리의 겨울을 담은 눈빛🗼연말 렌즈 추천+할인쿠폰✨ㅣ렌시스 신상렌즈 ”파리인더타임“ 4종ㅣ톤파괴 렌즈ㅣ웜.쿨톤 렌즈추천ㅣ그레이.브라운.올리브렌즈ㅣ가을스런_Gaeul"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,4s_XOhHUd40,3991,48,8,2145000,2025-01-18,537.459,"맘에드는..올해의 컬러♡ ˚ ॱ모카무스?메이크업..근데 봄웜도 할 수 있는 브라운메콥?ㅣmake up grwmㅣ가을스런"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,5WnK01Rpspk,3817,52,2,2145000,2024-03-06,561.96,"건조함 모르는 건성이 된 비법❗️#베이스메이크업 #선크림추천 #바이오힐보"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,일소,NULL,NULL,5ykcJmzqwqA,4911,85,20,3022500,2025-04-30,615.455,"리치피치🍑메이콥◞♡(느좋..봄 데일리섀도우+블러셔ㅣ어바웃톤 쿠션 리뷰ㅣ모공·트러블 케어법ㅣ네이밍 글로이 하트 립틴트) 가을스런"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,쏘내추럴,NULL,NULL,6oBUzoDyRTw,1662,32,4,2145000,2022-06-16,1290.61,"쉽다 쉬워! 여름철☀️안무너지는 피부화장법(feat.쏘내추럴)ㅣ베이스 꿀팁ㅣ쿠션 바르는법ㅣ마스크에 안묻는 방법ㅣ올리브영 픽서추천ㅣBase make upㅣ가을스런_Gaeul"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,보다나,NULL,NULL,7Ba2L0W7mr8,17940,237,29,5390000,2025-08-28,300.446,"이건 꼭 사야하는데..! 매일 쓰는 템 🤎. 🤎 (핑잘봄 · 가을 팔레트+블러셔 · 화잘먹 기초템 · 뽀용 애교살템 · 립베이스 · 봄웜립 · 복숭아 로즈 향수ㅣ올영세일) 가을스런"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,8KnXItSKGMo,8977,30,1,2145000,2022-08-29,238.944,"NEW 라카_프루티글램틴트🍊🍋ㅣ청량 과즙 립  끝.판.왕ㅣ전색상.신상틴트리뷰ㅣ웜톤&쿨톤 립추천ㅣfruity Glam tintㅣ가을스런_Gaeul"
