branded_page_name,brand_name_kr,brand_logo_id,ad_count
엠디스픽,엠디스픽,165434,18
Entropy makeup,엔트로피 메이크업,152879,18
Philips Home Living - 필립스 홈리빙,필립스,4061,18
Dermela,더멜라,163805,18
Bouquet Garni,부케가르니,119797,18
23.65,23.65,156106,17
더블플래그,더블플래그,152980,17
LUNA 루나 코스메틱,루나,151,17
Stand Oil,스탠드오일,4034,17
Prayforit,프레이포잇,154453,17
그루밍랩,그루밍랩,35390,17
뽕브라몰,뽕브라몰,117323,17
Secondmono,세컨모놀로그,166058,17
넛세린,넛세린,53826,17
iHerb.com Korean,아이허브,148,17
프롬아블,프롬아블,109666,17
베스트슬립.오피셜,베스트슬립,52829,16
오즈코딩스쿨,오즈코딩스쿨,154703,16
Casaverdi,카사베르디,165260,16
크몽 전자책 VOD,크몽,32904,16
타입넘버,타입넘버,3783,16
"청연-청소연구소,청연케어",청소연구소,131578,16
Overthe.co.kr,오버더,66379,16
더니트컴퍼니,더니트컴퍼니,45842,16
서포트미,서포트미,165287,16
AI Catch: AI Photo&Video Tool,캐치,99234,16
Housweet,하우스윗,97319,16
Fallcent,폴센트,129061,16
정관장 삼삶스토리,정관장,559,16
캉골 키즈 코리아 (Kangol Kids Korea),캉골,20051,16
하우스오브비,하우스오브비,165418,16
뉴트리몰,에버콜라겐,50274,16
LAGOM 라곰,라곰,153660,16
Layerlab,레이어랩,155663,16
주미소 jumiso,주미소,110665,16
오가본,오가본,37252,15
위드렌즈,위드렌즈,150305,15
라로슈포제 La Roche-Posay,라로슈포제,3714,15
BYNIQ,바이닉,165371,15
모두의연구소,모두의연구소,82824,15
단색 Dansaek,단색,82908,15
Cafe24,카페24,130961,15
CaratMe,캐럿미,165137,15
동국제약 토탈헬스케어,동국제약,3833,15
닥터블릿,닥터블릿,19852,15
Julie's Choice,줄리스초이스,4314,15
lululemon Seoul,룰루레몬,64519,15
하림펫푸드,하림펫푸드,28356,15
링글 틴즈 1:1 화상영어,링글,33041,15
한고연몰,한고연몰,153480,15
식물나라,식물나라,153544,15
Mixxo,미쏘,3114,15
클리오 CLIO,클리오,84,15
달리프,달리프,3983,14
데카트론코리아,데카트론,33254,14
플로랑 - 프리미엄 섬유 향수,플로랑,85867,14
데이지크,데이지크,83,14
NOL 티켓,야놀자,234,14
