branded_page_name,matched_brand_kr,brand_logo_id,count,verdict
로그인 포레스트 Login Forest,포레스트,129563,3,review
아이스트 - I.st cosmetics,아이스트,703,3,yes
리안 유모차,리안,166318,3,yes
ESSA - 에싸 소파,에싸소파,52891,3,yes
편안함의 끝판왕 모그라미,모그라미,71223,3,yes
매스티나 mastina,매스티나,3330,3,yes
헌치 HUNCH,헌치,153553,3,yes
히어리-Heeari,히어리,91864,3,yes
아르떼뮤지엄 Arte Museum,아르테,57913,3,review
"모두의요금제, 모요",모요,158554,3,yes
Solutions for Our Climate - 기후솔루션,기후솔루션,4042,3,yes
ADAUL / 어다울,어다울,110567,3,yes
마이클 - 대한민국 1등 차량관리앱,마이클,34148,3,yes
민트영어 - Mint English,민트영어,347,3,yes
집품 - 집에 대한 모든 정보,집품,85885,3,yes
"부동산 단기임대 1위, 33m2-삼삼엠투",삼삼엠투,32968,3,yes
AOU 에이오유,에이오유,165965,3,yes
이슬로 Seedbee,씨드비,35230,3,review
무신사 스탠다드 홈,무신사,17,3,yes
A'pieu 어퓨,어퓨,65214,3,yes
아프리모 Afrimo,아프리모,40997,3,yes
Alavague 아라바그 ,아라바그,157300,3,yes
VPROVE - 비프루브,비프루브,118948,3,yes
Citybreeze 시티브리즈,시티브리즈,3707,3,yes
육아상식 아토오겔,아토오겔,115772,3,yes
seamonster_baby,씨몬스터,152962,3,yes
시원스쿨 독일어,시원스쿨,28954,3,yes
BRAYE 브레이,브레이,161730,3,yes
아닐로 - ANILLO,아닐로,154641,3,yes
tmoney_mobility,티머니,3155,2,yes
"멜킨스포츠, Melkin Sports",멜킨 스포츠,110588,2,yes
nyunyu.giftshop,뉴뉴,165360,2,yes
애경산업 aekyung,애경,3887,2,yes
텀스-Tums,텀스,61038,2,yes
팔도 (Paldo),팔도,50,2,yes
큐원 알룰로스,큐원,257,2,yes
닥터신-건강연구소,닥터신,131097,2,yes
Outin Portable Electric Espresso Machine,Outin,145904,2,yes
샤틴 SATIN,샤틴,50261,2,yes
큐월드 - Qworld,큐월드,164410,2,yes
일리윤 - illiyoon,일리윤,47250,2,yes
Aperire 아페리레,아페리레,165992,2,yes
1507 Benefit Lounge,베네피트,76761,2,review
블리블리 VELY VELY,임블리,85941,2,no
메이크업 아티스트 브러쉬 Studio17,스튜디오17,50291,2,yes
illigo.129,일리고,146211,2,yes
TikTok Lite Korea,틱톡,212,2,yes
AI Catch: AI Video Generator,캐치,99234,2,review
"지우개패드, 셀리맥스",셀리맥스,32,2,yes
URBANDTYPE (어반디타입),어반디타입,37299,2,yes
푸디버디 FoodyBuddy,푸디버디,97273,2,yes
