branded_page_name,count,exact_match,exact_match_ci,r1_decor,r2_segment,r3_homoglyph
Klairs 클레어스,20,0,0,0,1,0
클래스101 - CLASS101,20,0,0,0,1,0
힐링버드 HealingBird,20,0,0,0,1,0
리카리카 - likalika,20,0,0,0,1,0
무르,20,1,1,0,0,0
Teabless_official,20,0,0,1,0,0
캐츠,20,0,0,0,0,0
PPZ,20,1,1,0,0,0
스크럽대디,20,0,0,1,0,0
라이브오랄스,20,1,1,0,0,0
필라이즈 - 초개인화 토탈 건강 관리 앱,20,0,0,0,1,0
Lyanature co. 리아네이처,20,0,0,0,1,0
Slown,20,1,1,0,0,0
모두닥,20,1,1,0,0,0
웰247,20,1,1,0,0,0
페이퍼백,20,1,1,0,0,0
K화잘먹뷰티,20,0,0,0,0,0
운동 꿀템 다 알려줌,20,0,0,0,0,0
Namdaemunjw,20,0,0,0,0,0
마미케어 H,20,0,0,0,1,0
Whiff 위프,19,0,0,0,1,0
Gripit,19,0,1,0,0,0
라보페,19,1,1,0,0,0
Absobiotech,19,0,0,0,0,0
헤라(HERA),19,0,0,0,1,0
Lavoir,19,1,1,0,0,0
락앤락-LocknLock,19,0,0,0,1,0
MAKEHEAL 메이크힐,19,0,0,0,1,0
피카비 peekaby,19,0,0,0,0,0
렌트리,19,1,1,0,0,0
식단이 쉬워진다. 랭킹닭컴,19,0,0,0,1,0
팸퍼스,19,1,1,0,0,0
보바vova,19,0,0,0,0,0
Codescombineinnerwear - 코데즈컴바인이너웨어,19,0,0,0,1,0
아임미미 I'M MEME,19,0,0,0,1,0
카미노,19,0,0,0,0,0
아이쉐어링,19,1,1,0,0,0
어프로치 서울,19,0,0,0,0,0
설악막국수춘천닭갈비,19,0,0,0,0,0
duit,19,0,0,0,0,0
니아르 NE:AR,18,0,0,0,1,0
더랩바이블랑두,18,1,1,0,0,0
LeMouton,18,0,0,1,0,0
엠디스픽,18,1,1,0,0,0
Entropy makeup,18,0,1,0,0,0
Philips Home Living - 필립스 홈리빙,18,0,0,0,1,0
Dermela,18,1,1,0,0,0
Bouquet Garni,18,0,0,1,0,0
윗유 witu,17,0,0,0,0,0
23.65,17,1,1,0,0,0
더블플래그,17,1,1,0,0,0
LUNA 루나 코스메틱,17,0,0,0,1,0
후디스,17,0,0,0,0,0
Stand Oil,17,1,1,0,0,0
Lin.Avenue,17,0,0,0,0,0
nothing.edo,17,0,0,0,0,0
Prayforit,17,0,0,1,0,0
그루밍랩,17,1,1,0,0,0
뽕브라몰,17,1,1,0,0,0
Secondmono,17,0,1,0,0,0
스타 법무법인,17,0,0,0,0,0
넛세린,17,1,1,0,0,0
iHerb.com Korean,17,0,0,0,1,0
베스트슬립.오피셜,16,0,0,1,0,0
오즈코딩스쿨,16,1,1,0,0,0
Casaverdi,16,0,1,0,0,0
Marshique,16,0,0,0,0,0
크몽 전자책 VOD,16,0,0,0,1,0
OMAMI.Official,16,0,0,0,0,0
"청연-청소연구소,청연케어",16,0,0,0,1,0
Overthe.co.kr,16,0,0,0,1,0
더니트컴퍼니,16,1,1,0,0,0
추천해 주는 공주님,16,0,0,0,0,0
서포트미,16,1,1,0,0,0
AI Catch: AI Photo&Video Tool,16,0,0,0,1,0
Cukies,16,0,0,0,0,0
Emkm_으음키임,16,0,0,0,0,0
Housweet,16,1,1,0,0,0
Fallcent,16,0,1,0,0,0
정관장 삼삶스토리,16,0,0,0,1,0
캉골 키즈 코리아 (Kangol Kids Korea),16,0,0,0,1,0
민현석,16,0,0,0,0,0
리셀바이,16,0,0,0,0,0
쿠진 coozin,16,0,0,0,0,0
하우스오브비,16,1,1,0,0,0
뉴트리몰,16,0,0,1,0,0
sleepnsleep_official_,16,0,0,0,0,0
LAGOM 라곰,16,0,0,0,1,0
