brand_logo_id,brand_name_kr,brand_name_en,related_brands,insta_channel_id
132,에이스바이옴,AceBiome,"아나파렉틴,  비에날씬",NULL
133,라보페,Labope,NULL,NULL
134,JLCPCB,JLCPCB,NULL,NULL
135,이스트라,Estla,NULL,NULL
136,이마트,Emart,몰리스,NULL
137,오비맥주,"OB Beer",호가든,NULL
138,제스프리,Zespri,NULL,NULL
140,미닉스,minix,NULL,NULL
141,치킨매니아,"Chicken Mania",NULL,NULL
142,비레디,"Be Ready",NULL,NULL
143,팸퍼스,Pampers,NULL,NULL
144,농림축산식품부,농림축산식품부,"그린대로,  탄탄대로",NULL
145,랑콤,Lancome,NULL,NULL
146,왓챠,Watcha,NULL,NULL
147,헬스헬퍼,"health helper","맥스컷, 블루워터, 에메랄드워터,  포포젤리",NULL
148,아이허브,iHerb,NULL,NULL
149,오아,Oa,NULL,NULL
150,텐바이텐,tenbyten,NULL,NULL
151,루나,Luna,투에딧,NULL
152,가히,kahi,NULL,NULL
153,노스페이스,"The north face",NULL,NULL
154,웨이브,Wavve,NULL,NULL
155,오뚜기,오뚜기,"컵누들,  해피냠냠,  진비빔면, 짜슐랭",NULL
156,티몬,Tmon,NULL,NULL
157,카스,Cass,,NULL
158,에이아이트릭스,"Ai trics",NULL,NULL
159,안상규벌꿀,"Ahnsanggyu Honey",NULL,NULL
160,켈로그,kelloggs,첵스초코,NULL
161,바르다,브랜드네임정확성확인,NULL,NULL
162,파파레서피,paparecipe,NULL,NULL
163,일동제약,Ildong,"마이니,  지큐랩, 비오비타,  마이니 부스터",NULL
164,롯데마트,"Lotte Mart",마블나인,NULL
165,디뉴,DiNU,NULL,NULL
166,파운데이,Pounday,NULL,NULL
167,스텔라떡볶이,Stella,NULL,NULL
168,비플레인,Beplain,NULL,NULL
169,순살몬스터,순살몬스터,NULL,NULL
170,두찜,두찜,NULL,NULL
171,미국육류수출협회,미국육류수출협회,아메리칸미트스토리,NULL
172,행정안전부,행정안전부,디지털플랫폼정부위원회,NULL
173,더바디샵,"The Body Shop",NULL,NULL
174,빙그레,빙그레,"식물성 바유, 아카페라, 요플레, 딥앤로우",NULL
175,디올,Dior,"미스디올,  디올뷰티, DIORBEAUTY",NULL
176,제주삼다수,"Jeju SamDaSoo",NULL,NULL
177,블락포디,Blockford,NULL,NULL
178,신차연구소,Carlab,NULL,NULL
179,SK렌터카,"SK 렌터카",NULL,NULL
180,마이오마이,"Mai Ohw Mai",NULL,NULL
181,카플,Carple,AAWireless,NULL
182,쿠첸,Cuchen,NULL,NULL
183,삼첩분식,"Samcheop Bunsik",NULL,NULL
184,비알머드,brmud,NULL,NULL
185,매일유업,Maeil,"상하목장, 어메이징오트, 매일야채, 피크닉, 메디웰",NULL
186,신한카드,"Shinhan Card",NULL,NULL
187,줄라이미,Julyme,NULL,NULL
188,SK에너지,"SK Energy",NULL,NULL
189,녹스앱플레이어,NoxPlayer,NULL,NULL
190,키엘,Kiehl's,NULL,NULL
191,맥도날드,McDonald's,NULL,NULL
193,가시안,Gasian,NULL,NULL
194,더쎈카드,더쎈카드,NULL,NULL
196,와이티디,y.td,NULL,NULL
197,한국타이어,Hankook,NULL,NULL
198,현대캐피탈,"Hyundai Capital",NULL,NULL
199,다우니,Downy,,NULL
200,스브,스브가어딘가요?,NULL,NULL
201,한잔애,한잔애,NULL,NULL
202,한국도박문제관리센터,한국도박문제예방치유원,NULL,NULL
204,원스토어,"ONE store",NULL,NULL
205,정식품,정식품,베지밀,NULL
206,SK브로드밴드,"SK broadband",NULL,NULL
207,봉선장,봉선장,NULL,NULL
208,영실업,"YOUNG TOYS","또봇, 비스트랩",NULL
209,감탄떡볶이,감탄떡볶이,NULL,NULL
210,언더아머,"Under Armour",NULL,NULL
211,한맥,Hanmac,NULL,NULL
212,틱톡,TikTok,틱톡라이트,NULL
213,린클,Reencle,NULL,NULL
214,티젠,Teazen,NULL,NULL
215,잭커리,Jackery,NULL,NULL
216,청정원,청정원,"그레인보우, 호밍스",NULL
