channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UCKOwDvsF9Mp5FSgLxh5qIag,8987,1408,24971,5129,0.13,1.47,1.19,200,80.56,324,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCKVJ1f8j-Wz3LMSbiHi4DLQ,2270,3043,124,2684,1.61,3.19,-1.37,-130,83.83,266,NULL,NULL,"리뷰 & 언박싱",NULL,"리빙 & 인테리어",NULL,"음식 & 음료"
UCkWDyNmU0TqhvD0g7yC5r2g,131804,12400,NULL,131804,NULL,NULL,16.25,1440,100,71,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"연애 & 결혼"
UCLgVu6xVfWfYnff1HoO8Lww,29028,1650,1609,37311,1.52,0.63,0,0,76.8,250,NULL,브이로그,챌린지,"일상 & 라이프스타일","패션 & 의류",NULL,육아
UClHKXblEdD7mGFOjX_ZJH3w,3537,1722,7895,1879,0.9,0.96,-0.46,-10,72.44,127,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"피트니스 & 다이어트"
UClsaLJyAdDlXjyAizmKt-1Q,60975,58210,65962,47073,1.46,1.55,3.11,5000,26.4,250,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UCLvk76DFmbHIveAvYUDajUg,30024,6233,37280,14024,0.78,1.96,3.9,2500,31.2,266,NULL,튜토리얼,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강",NULL
UCM3LKBTSr8fUivTfrvOPZCg,14848,14451,11074,19879,0.5,0.67,2.52,210,42.86,168,NULL,튜토리얼,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","여행 & 캠핑"
UCMFpzGDVsTdOHDiLMHLSl7A,1393,1599,1892,852,0.34,0.01,0.14,10,47.94,557,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"음식 & 음료"
UCMJiRC8ebr3BM1bqSGy3lXA,107326,108728,121723,73318,1.65,1.06,-1.23,-2000,29.74,585,NULL,브이로그,브이로그,"일상 & 라이프스타일","일상 & 라이프스타일","여행 & 캠핑","음식 & 음료"
UCmKTebUnJbeWuhUHSxsEDhQ,59415,30261,85034,29730,1.07,0.09,0.96,3000,46.32,408,1,브이로그,토크,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일",엔터테인먼트
UCmpgyQt41fRttTKavambewA,2519,2646,1370,4602,2.2,0.25,5.41,600,35.55,993,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","음식 & 음료"
UCmPkZXhVfyLLWyHQM-l_KqA,48136,38385,47056,51609,1.17,1.81,1.78,4000,23.72,527,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","음식 & 음료"
UCmV6YFTsQZ9_TK7kzrguFpA,18179,32757,4455,20820,1.16,0.4,1.23,200,83.86,440,NULL,브이로그,브이로그,"뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UCnekLiljel-Px4ClMC7b3mg,267268,170402,302510,145081,1.01,0.97,0.77,10000,21.43,588,18,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UCNKrDQQ9OLARlFVpHIi7nrQ,7971,5143,8214,7664,1.07,0.6,4.29,700,44.12,578,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","리빙 & 인테리어","여행 & 캠핑"
UCO-7CJCtOqw1yqh3y8owGfg,109079,99415,117993,31713,0.07,0.05,-0.31,-2000,10.33,242,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UCo9OPeVJL5hgPtwxUTEBgSA,54592,67199,41557,61730,1.79,0.31,-1.47,-1100,64.62,667,1,브이로그,꿀팁,"일상 & 라이프스타일","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강"
UCoARIsEr0lu7FLN6DfYk3TA,1160,1236,848,2211,1.67,3.97,0,0,22.89,1787,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","음식 & 음료","음식 & 음료","뷰티 & 메이크업","의료 & 건강"
UCP1bftsnaFPO0YoDYqgNCSA,5128,1358,2887,5607,1.04,0.59,20.93,270,82.38,227,NULL,브이로그,"리뷰 & 언박싱","여행 & 캠핑","음식 & 음료",NULL,"여행 & 캠핑"
UCPDYF8wq8Arz4klmZNY2WRg,9034,5929,6262,9387,0.65,0.55,3.85,80,88.71,381,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"일상 & 라이프스타일"
UCppnnruco5U5IPsQZIo7s0A,709,767,683,808,0.45,0.02,-0.68,-30,20.62,325,NULL,NULL,"리뷰 & 언박싱",NULL,"음식 & 음료",NULL,"뷰티 & 메이크업"
UCPur_FJRVR-vKvAz1xvwq6w,14336,11349,1618,15131,2.69,2.69,8.09,110,94.12,153,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"일상 & 라이프스타일"
UCQp3vsLMn9WlF_4aSIHEEoQ,651,731,586,704,1.96,1.94,0,0,55.18,328,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"의료 & 건강"
UCQxEEU1kq846WwLyXHxMY7A,4169,1949,4807,3368,2.12,1.85,0,0,44.35,929,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","음식 & 음료","음식 & 음료","리빙 & 인테리어","뷰티 & 메이크업"
UCqxtyL5WX9bvnXdpcWA9yzw,51330,28386,36822,62081,1.75,0.68,3.84,2000,57.44,437,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"연애 & 결혼"
UCR19aHW_92TAKGLoTH01Z7w,19200,12590,19247,19090,0.2,0.44,0.52,200,30.17,517,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","연애 & 결혼",육아
UCrePMOPfWqU6nviA3gO1bXw,50759,41424,52635,19800,0.98,1.62,12.33,2800,5.71,35,NULL,브이로그,튜토리얼,"일상 & 라이프스타일","뷰티 & 메이크업","교육 & 커리어","패션 & 의류"
UCrf62gEqaGK2saKj_oU5IYg,1715,1433,1862,1429,3.13,0.29,0,0,33.91,348,NULL,꿀팁,꿀팁,"음식 & 음료","음식 & 음료",음악,음악
UCRiIf6rt91BVfZVtURRXlOw,392465,302049,177486,696036,2.31,2.69,1.99,7000,41.46,439,22,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","일상 & 라이프스타일"
UCRN8qGSgGekQvtBrxU6Jt2g,580,491,507,738,2.8,1.55,0.3,20,31.4,895,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","음식 & 음료",NULL,"리빙 & 인테리어"
UCrNISLWm4d6SRf8AUjoGm1g,63149,50886,57426,78722,1.52,1.33,23.32,20800,26.88,160,NULL,꿀팁,꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","일상 & 라이프스타일"
UCsr9eUfntn_WNKBdPGjhFNA,57320,5038,24630,76398,2.98,2.75,-2.21,-1200,63.15,521,NULL,브이로그,"리뷰 & 언박싱","일상 & 라이프스타일","음식 & 음료","음식 & 음료","일상 & 라이프스타일"
UCSWHUmhm8XuNp1UEz_p0BFQ,624,643,633,614,0.32,0,0.73,30,46.7,925,NULL,꿀팁,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCSx-2fuyotB8WA8KytyhACg,66663,48021,53197,86197,2.05,1.46,4.04,11000,40.95,862,1,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","연애 & 결혼"
UCTjEBVjiOTsXQUqbJvi59kg,646,687,320,872,7.04,4.64,-0.65,-100,59.15,563,NULL,브이로그,"리뷰 & 언박싱","리빙 & 인테리어","음식 & 음료","여행 & 캠핑",육아
