channel_id,channel_title,video_id,video_url,ads_yn,subscribers,views,likes,comments,video_title,publishDate,brand_name,matched_keyword,updated_at
UCbK636ZR5BdUIrEcu6YOCRw,사스가김프로,MVWkdPSTlfw,https://www.youtube.com/watch?v=MVWkdPSTlfw,0,41800,1400,0,0,예민해진 피부 진정 루틴 | 시술후피부사용적합크림 에스트라 시카 판테놀 크림,2026-04-03,LG생활건강,진정,2026-04-28T00:00:00.000000
UChYUp6gv-SWom7oIdPfrzaA,뮤시아,6zfVXr-yGHo,https://www.youtube.com/watch?v=6zfVXr-yGHo,0,32100,1200,5,0,🧴요즘 폼 좋은 에스트라 시카 판테놀 재생크림 #유료광고 #shorts,2026-03-29,LG생활건강,,2026-04-28T00:00:00.000000
UCoARIsEr0lu7FLN6DfYk3TA,공물주,9d3OLSC6sHA,https://www.youtube.com/watch?v=9d3OLSC6sHA,0,24500,902,3,0,판테놀 시카 크림 다 써봤는데 이게 찐이에요 #shorts,2026-04-03,LG생활건강,,2026-04-28T00:00:00.000000
UCrf62gEqaGK2saKj_oU5IYg,h퍼즐,BoH5sMcCczU,https://www.youtube.com/watch?v=BoH5sMcCczU,0,20000,2000,0,5,시술후피부사용적합크림 에스트라 에이시카365 리페어크림 pH4.5,2026-03-29,LG생활건강,진정,2026-04-28T00:00:00.000000
UCKOwDvsF9Mp5FSgLxh5qIag,미백언니,HUmg-n31-vA,https://www.youtube.com/watch?v=HUmg-n31-vA,0,16900,934,3,0,환절기마다 피부 뒤집어지는 이유 | 시카케어가 필요해요 #홈케어 #판테놀 #환절기,2026-04-03,LG생활건강,진정,2026-04-28T00:00:00.000000
UCmV6YFTsQZ9_TK7kzrguFpA,오늘영,8-yccpAlQqk,https://www.youtube.com/watch?v=8-yccpAlQqk,0,16500,1500,0,0,안챙기면 후회하는 휴양지 필수품,2026-04-03,LG생활건강,더마,2026-04-28T00:00:00.000000
UCTjEBVjiOTsXQUqbJvi59kg,율엘맘,Ib_Ag-WxX_g,https://www.youtube.com/watch?v=Ib_Ag-WxX_g,0,15300,38,4,2,아직도 인생 시카 크림 못 찾으셨나요? 우리집 가족 정착템 공개,2026-03-29,LG생활건강,진정,2026-04-28T00:00:00.000000
UCJNqzcBpWK3Gt6IE1MxRr_Q,건강상점_건강정보,rwDNwCYFMpU,https://www.youtube.com/watch?v=rwDNwCYFMpU,0,11700,1100,9,0,예민해진 피부 장벽 케어를 위한 판테놀 재생크림,2026-04-02,LG생활건강,,2026-04-28T00:00:00.000000
UCmpgyQt41fRttTKavambewA,Mina.이나.h,X7NgYa3MqUA,https://www.youtube.com/watch?v=X7NgYa3MqUA,0,11700,473,15,1,"에스트라 에이시카365 리페어 크림💧리페어 크림 추천, 판테놀, 환절기 민감 피부, 관리 후 크림!",2026-04-02,LG생활건강,,2026-04-28T00:00:00.000000
UCtvF3qOM4qN3HKhDBt6Nhmw,eunn ,UjpZa8cN7Q8,https://www.youtube.com/watch?v=UjpZa8cN7Q8,0,11300,435,0,0,#유료광고 시술 후에도 쓰는 진정 재생크림 추천! 에이시카365 리페어크림 pH4.5-,2026-04-01,LG생활건강,진정,2026-04-28T00:00:00.000000
UCwObifbiqZvhDm6emfp_vJQ,깡초니,1SIufLDk0G8,https://www.youtube.com/watch?v=1SIufLDk0G8,0,11300,210,0,0,"마스크를 쓰니 예민해지는 피부 시술후피부사용적합크림 시카, 판테놀, 재생크림으로 도움받기! 에스트라 에이시카리페어크림,에이시카시카판테놀크림과 함께 홈케어관리로 피부까지 건행",2026-03-25,LG생활건강,,2026-04-28T00:00:00.000000
UCQxEEU1kq846WwLyXHxMY7A,"베가스 송, Vegas_Song",n7GZVdd0fh0,https://www.youtube.com/watch?v=n7GZVdd0fh0,0,10900,1400,12,0,피부과 다녀오고 더 뒤집어졌다? 이거 써보세요 #시카 #판테놀,2026-03-31,LG생활건강,진정,2026-04-28T00:00:00.000000
UCJjwunfIpTvVsJrWIeiprlA,디아지트,71iDoq5frGA,https://www.youtube.com/watch?v=71iDoq5frGA,0,10900,414,2,0,재생크림｜시술후피부사용적합크림,2026-03-26,LG생활건강,,2026-04-28T00:00:00.000000
