channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UCu2vENh5dIIdcbFLB09-TEg,4321,NULL,1261,5178,3.15,4.65,25.66,390,78.19,431,NULL,튜토리얼,튜토리얼,"피트니스 & 다이어트","피트니스 & 다이어트","레저 & 스포츠","취미 & 공예 & 디자인"
UCU2XQH56ZZFUbpeuPr4jzrg,37515,NULL,51833,6677,0.65,1.2,44.58,17700,31.71,41,NULL,강의,토크,"IT & 전자기기","IT & 전자기기","교육 & 커리어","경제 & 경영"
UCu3xeX84fPPZyqtyWJwpVWQ,2901,1867,470,2937,1.59,1.59,0,0,98.56,139,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"음식 & 음료"
UCU6csRRs2KQhazaYk_EGyew,521,NULL,493,614,1.7,1.23,5.15,1400,24.41,893,NULL,강의,강의,"교육 & 커리어","교육 & 커리어","뉴스 & 정치","뉴스 & 정치"
UCuah08Kw-GWBrY2haYrFADg,2226,NULL,2509,2169,0.05,0.06,0.44,20,83.04,224,NULL,"리뷰 & 언박싱",튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업",NULL,"의료 & 건강"
UCuajy72PSiVFbLHUrZXW3OA,54343,143888,80820,33609,1.1,0.65,-0.49,-1000,55.94,1144,9,브이로그,브이로그,"일상 & 라이프스타일","일상 & 라이프스타일","여행 & 캠핑","연애 & 결혼"
UCUaMxbBAPA78kwBXUWRnIAg,2785,NULL,2228,4262,1.55,2.1,3.53,600,27.42,1583,NULL,튜토리얼,튜토리얼,"취미 & 공예 & 디자인","레저 & 스포츠","피트니스 & 다이어트","피트니스 & 다이어트"
UCUb9mhrMCwzwrlLOJikjo8g,4380,NULL,4236,5068,1.48,1.84,2.56,240,17.32,179,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","음식 & 음료","의료 & 건강"
UCUEbMnl7U4rLoMopD2bqT3Q,35163,NULL,31116,69844,1.74,1.87,0.5,2000,10.45,1043,1,음악,음악,음악,음악,NULL,NULL
UCUgZq9PkDp1xaEivtcfJPSg,38948,NULL,42788,22625,1.49,2.51,2.07,14000,19.05,42,NULL,강의,NULL,"의료 & 건강",NULL,NULL,NULL
UCuIDp_DP5SJKpCLq4pqHDGA,76092,NULL,10702,76188,0,0,4.32,800,99.85,683,NULL,NULL,튜토리얼,NULL,"리빙 & 인테리어",NULL,"취미 & 공예 & 디자인"
UCUkg_Ioh9fOx9gs5nFDyyzw,804783,NULL,45357,1141649,0.78,0.41,5.61,11000,69.27,371,NULL,다큐멘터리,다큐멘터리,음악,음악,엔터테인먼트,엔터테인먼트
UCUl7oLla0tJwYBboYdoqR9A,4409,3538,4576,2964,1.62,1.69,2.88,300,10.36,444,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","IT & 전자기기","IT & 전자기기","여행 & 캠핑","음식 & 음료"
UCun4wV8czkKcdMn_NDX8MIQ,69563,37314,62363,81374,1.15,2.09,6.41,10000,37.87,301,NULL,브이로그,브이로그,"일상 & 라이프스타일","일상 & 라이프스타일","연애 & 결혼","뷰티 & 메이크업"
UCUrCIBJ3ScRAOLgPElscZqA,107882,86524,107199,110649,1.12,2,0.75,4000,19.8,687,2,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UCUrMi4rM_nrHEPsyKM6A5ig,10494,NULL,215,10886,2.96,1.89,69.54,12100,96.33,981,NULL,NULL,브이로그,NULL,"일상 & 라이프스타일",NULL,기타
UCUrWYHonurjeIMjzX7GKQsg,2667,NULL,3784,1349,1.61,3.01,-0.17,-100,45.85,277,NULL,튜토리얼,튜토리얼,"음식 & 음료","음식 & 음료","여행 & 캠핑","일상 & 라이프스타일"
UCUUi4BERYA-Dh57ME2KRHfQ,2083,NULL,1492,3272,1.73,1.85,1.66,160,33.21,834,NULL,튜토리얼,튜토리얼,"레저 & 스포츠","피트니스 & 다이어트","피트니스 & 다이어트","레저 & 스포츠"
UCuukZ_JnISTKYm2doTIC3Ow,318683,NULL,NULL,318683,NULL,NULL,11.35,1600,100,338,NULL,NULL,다큐멘터리,NULL,엔터테인먼트,NULL,코미디
UCuUuExDFAwfJiTmAR7m1ryw,15692,NULL,23441,3205,0.46,12.73,5.91,110000,37.96,4578,NULL,강의,강의,종교,종교,음악,"사회 & 이슈"
UCUygRfanuNoV88Z6gpmNkqg,8066,8195,7091,11515,2.24,2.19,0.58,300,21.92,812,NULL,자동차,자동차,자동차,자동차,NULL,NULL
UCUyOHsaIQ-CZ0paDSiN1OaA,4191,3951,204,5001,16.94,23.73,16.41,420,83.11,1273,NULL,브이로그,토크,엔터테인먼트,엔터테인먼트,NULL,"패션 & 의류"
UCv_PnBUl5Y88x04ujo8Je8w,4997,NULL,3711,5994,4.06,5.44,4.99,280,56.31,103,NULL,브이로그,브이로그,"일상 & 라이프스타일",음악,"여행 & 캠핑","여행 & 캠핑"
UCv1YGbD_UQ366S1o7Pfo5SA,31273,NULL,50807,3900,0.24,0.93,1.27,700,41.64,1131,NULL,"리뷰 & 언박싱",리액션,"레저 & 스포츠","레저 & 스포츠",엔터테인먼트,엔터테인먼트
UCv6nXR8A-wSidnF6H-2wQYg,10162,10196,10736,6147,0.98,0.1,2.74,400,12.5,912,NULL,"리뷰 & 언박싱",NULL,"의료 & 건강",NULL,"뷰티 & 메이크업",NULL
