app,http_methods,url_path,norm_path,view_ref,view_file,tables_touched,usage,match_type,confidence,frontend_hits,evidence_files
kpi,GET,/kpi/yearly-revenue,/kpi/yearly-revenue,YearlyRevenueView,kpi/views.py,ugwanggi_payment_history|ugwanggi_subscription,CALLED,exact,HIGH,2,src/service/admin-business.js | src/service/admin-business.js
kpi,GET,/kpi/signup,/kpi/signup,SignupView,kpi/views.py,users_ugwanggi,CALLED,exact,HIGH,2,src/service/admin-business.js | src/service/admin-business.js
kpi,GET,/kpi/average-life-subscription,/kpi/average-life-subscription,AverageLifeSubscriptionView,kpi/views.py,ugwanggi_subscription|users_ugwanggi,CALLED,exact,HIGH,2,src/service/admin-business.js | src/service/admin-business.js
kpi,GET,/kpi/net-growth,/kpi/net-growth,NetGrowthView,kpi/views.py,ugwanggi_subscription|users_ugwanggi,CALLED,exact,HIGH,2,src/service/admin-business.js | src/service/admin-business.js
monitoring,DELETE|GET|POST|PUT,/monitoring/campaign,/monitoring/campaign,MonitoringCampaignView,monitoring/views.py,brand_logo|ugwanggi_monitoring_campaign|ugwanggi_monitoring_entity|users_ugwanggi|youtuber_info,CALLED,exact,HIGH,6,src/service/monitoring.js | src/service/monitoring.js | src/service/monitoring.js
monitoring,GET,/monitoring/first-crawl/<int:campaign_id>,/monitoring/first-crawl/:PARAM,FirstCrawlingView,monitoring/views.py,,CALLED,exact,HIGH,2,src/service/monitoring.js | src/service/monitoring.js
monitoring,DELETE|POST,/monitoring/entity,/monitoring/entity,MonitoringEntityView,monitoring/views.py,brand_logo|ugwanggi_monitoring_campaign|ugwanggi_monitoring_entity|users_ugwanggi|youtuber_info,CALLED,exact,HIGH,4,src/service/monitoring.js | src/service/monitoring.js | src/service/monitoring.js
monitoring,POST,/monitoring/dashboard,/monitoring/dashboard,MonitoringDashboardView,monitoring/views.py,YT_bumper_ad|YT_sub_view_trend|YT_video_lists|brand|brand_logo|ugwanggi_monitoring_campaign|ugwanggi_monitoring_entity|users_ugwanggi|youtuber_info,CALLED,exact,HIGH,2,src/service/monitoring.js | src/service/monitoring.js
monitoring,POST,/monitoring/campaign-videos,/monitoring/campaign-videos,MonitoringVideosView,monitoring/views.py,YT_video_lists_detail|ugwanggi_monitoring_campaign|ugwanggi_monitoring_entity|ugwanggi_monitoring_result|users_ugwanggi|youtuber_info,CALLED,exact,HIGH,2,src/service/monitoring.js | src/service/monitoring.js
monitoring,POST,/monitoring/campaign-channels,/monitoring/campaign-channels,MonitoringChannelsView,monitoring/views.py,ugwanggi_monitoring_campaign|ugwanggi_monitoring_result|users_ugwanggi|youtuber_info,CALLED,exact,HIGH,2,src/service/monitoring.js | src/service/monitoring.js
