from_app,from_model,from_table,from_field,from_column,relation_type,to_model,to_table,to_column,on_delete,null,from_col_in_schema,to_col_in_schema,from_table_used,to_table_used,file
oliveyoung,OliveYoungVideoList,oliveyoung_video_lists,channel_id,channel_id,ForeignKey,YTUSers,youtuber_info,channel_id,,False,True,True,True,True,oliveyoung/models.py
oliveyoung,OliveyoungProductAggRankDaily,oliveyoung_product_agg_rank_daily,product_id,product_id,ForeignKey,OliveYoungProductInfo,oliveyoung_product_info,product_id,,False,True,True,True,True,oliveyoung/models.py
oliveyoung,OliveYoungYoutubeProductAggDaily,oliveyoung_youtube_product_agg_daily,product_id,product_id,ForeignKey,OliveYoungProductInfo,oliveyoung_product_info,product_id,,False,True,True,True,True,oliveyoung/models.py
oliveyoung,OliveyoungProductScore,oliveyoung_product_score,product_id,product_id,ForeignKey,OliveYoungProductInfo,oliveyoung_product_info,product_id,,False,True,True,True,True,oliveyoung/models.py
oliveyoung,OliveyoungBrandScore,oliveyoung_brand_score,brand,brand,ForeignKey,OliveYoungBrand,oliveyoung_brand,oliveyoung_brand_id,,False,True,True,True,True,oliveyoung/models.py
oliveyoung,OliveYoungInstagramProductPost,instagram_oliveyoung_product_post,post_id,post_id,ForeignKey,InstagramPost,instagram_post,post_id,,False,True,True,True,True,oliveyoung/models.py
oliveyoung,OliveYoungInstagramProductPost,instagram_oliveyoung_product_post,product_id,product_id,ForeignKey,OliveYoungProductInfo,oliveyoung_product_info,product_id,,False,True,True,True,True,oliveyoung/models.py
brand,BrandSaved,ugwanggi_brand_saved,brand_name_kr,brand_name_kr,ForeignKey,BrandLogo,brand_logo,brand_name_kr,CASCADE,False,True,True,True,True,brand/models.py
brand,BrandSaved,ugwanggi_brand_saved,folder_id,folder_id,ForeignKey,SavedFolder,saved_youtuber_brand_folders,id,CASCADE,False,True,True,True,True,brand/models.py
brand,OliveYoungBrand,oliveyoung_brand,brand_logo_id,brand_logo_id,ForeignKey,BrandLogo,brand_logo,brand_logo_id,CASCADE,True,True,True,True,True,brand/models.py
brand,BrandReportAccess,ugwanggi_brand_report_access,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,brand/models.py
brand,BrandReportAccess,ugwanggi_brand_report_access,brand_logo_id,brand_logo_id,ForeignKey,BrandLogo,brand_logo,brand_logo_id,,False,True,True,True,True,brand/models.py
brand,InstagramBrandReportAccess,ingwanggi_brand_report_access,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,brand/models.py
brand,InstagramBrandReportAccess,ingwanggi_brand_report_access,brand_logo_id,brand_logo_id,ForeignKey,BrandLogo,brand_logo,brand_logo_id,,False,True,True,True,True,brand/models.py
youtube_shopping,YTProductVideo,YT_product_video,video_id,video_id,OneToOneField,YTVideoLists,YT_video_lists,video_id,,False,True,True,True,True,youtube_shopping/models.py
youtube_shopping,YTProductVideo,YT_product_video,product_id,product_id,ForeignKey,YTProductInfo,YT_product_info,product_id,,False,True,True,True,True,youtube_shopping/models.py
youtube_shopping,YTShoppingTopProductVideo,YT_shopping_top_product_video,video_id,video_id,ForeignKey,YTVideoLists,YT_video_lists,video_id,,False,True,True,True,True,youtube_shopping/models.py
youtube_shopping,YTShoppingTopProduct,YT_shopping_top_product,product_id,product_id,ForeignKey,YTProductInfo,YT_product_info,product_id,,False,True,True,True,True,youtube_shopping/models.py
user,User,users_ugwanggi,partner_id,partner_id,ForeignKey,Partner,ugwanggi_partners,partner_id,SET_NULL,True,True,True,True,True,user/models.py
