table,owner_app,owner_status,writer_apps,reader_apps,join_apps,consumer_apps,per_app_hits
ugwanggi_partner_team,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_partner_team_brand,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_partner_team_link,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_partner_team_tag,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_partners,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_payment_card,subscribe,SINGLE,,,,,"{""subscribe"": 1}"
ugwanggi_payment_history,subscribe,SINGLE,,,,,"{""subscribe"": 1}"
ugwanggi_phone_verification,user,SINGLE,,,,,"{""user"": 1}"
ugwanggi_pricing_survey,survey,SINGLE,,,,,"{""survey"": 1}"
ugwanggi_public_tracked_ad_folder,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_related_keywords,search,SINGLE,,,,,"{""search"": 1}"
ugwanggi_report_history,youtube,SINGLE,,,,,"{""youtube"": 1}"
ugwanggi_search_history,search,SINGLE,,,,,"{""search"": 1}"
ugwanggi_server_used,search,SINGLE,,,,,"{""search"": 1}"
ugwanggi_subscription,subscribe,SINGLE,,,,,"{""subscribe"": 1}"
ugwanggi_survey,survey,SINGLE,,,,,"{""survey"": 1}"
ugwanggi_tracked_ad,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_tracked_ad_comment,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_tracked_ad_folder,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_tracked_ad_folder_keyword,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_tracked_ad_folder_stat,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_tracked_ad_stat,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_trial_survey,survey,SINGLE,,,,,"{""survey"": 1}"
ugwanggi_user_creator_db_request,user,SINGLE,,,,,"{""user"": 1}"
ugwanggi_user_search_history,search,SINGLE,,,,,"{""search"": 1}"
ugwanggi_youtube_searched_channel,search,SINGLE,,,,,"{""search"": 1}"
ugwanggi_youtube_searched_video,search,SINGLE,,,,,"{""search"": 1}"
ugwanggi_youtuber_saved,youtube,SINGLE,,,,,"{""youtube"": 1}"
users,,NO_MODEL,,,,,{}
users_ugwanggi,user,SINGLE,,,,,"{""user"": 1}"
video_title,,NO_MODEL,,,,,{}
views_trend,,NO_MODEL,,,,,{}
youtuber_category_class,youtube,SINGLE,,,,,"{""youtube"": 1}"
youtuber_info,youtube,SINGLE,,search,search,search,"{""search"": 2, ""youtube"": 1}"
youtuber_stats,youtube,SINGLE,,,express,express,"{""express"": 1, ""youtube"": 1}"
